"degree_centrality","name","node_count","selected","shared name"
"0.0945945945945946","bienestar","5","false","bienestar"
"0.41891891891891897","selva","21","false","selva"
"0.14864864864864866","conservación de la biodiversidad","7","false","conservación de la biodiversidad"
"0.2702702702702703","dinero y sustento familiar","16","false","dinero y sustento familiar"
"0.13513513513513514","erosión","5","false","erosión"
"0.10810810810810811","inversionistas","3","false","inversionistas"
"0.05405405405405406","salud de las personas","3","false","salud de las personas"
"0.06756756756756757","madera y postes","6","false","madera y postes"
"0.013513513513513514","clima","4","false","clima"
"0.1891891891891892","cambio climático","7","false","cambio climático"
"0.0945945945945946","diversidad de plantas","6","false","diversidad de plantas"
"0.13513513513513514","fauna","15","false","fauna"
"0.05405405405405406","infiltración","3","false","infiltración"
"0.08108108108108109","espacio para pastar","5","false","espacio para pastar"
"0.21621621621621623","alimento para ganado","16","false","alimento para ganado"
"0.13513513513513514","árboles","9","false","árboles"
"0.13513513513513514","conservación del suelo","4","false","conservación del suelo"
"0.17567567567567569","agua","15","false","agua"
"0.13513513513513514","plagas","22","false","plagas"
"0.24324324324324326","lluvia","15","false","lluvia"
"0.05405405405405406","turismo","4","false","turismo"
"0.04054054054054054","extracción de información","2","false","extracción de información"
"0.0945945945945946","apoyos del gobierno","4","false","apoyos del gobierno"
"0.21621621621621623","quemas","19","false","quemas"
"0.0945945945945946","machetear","7","false","machetear"
"0.12162162162162163","rociar","14","false","rociar"
"0.12162162162162163","cultivos","9","false","cultivos"
"0.5135135135135136","ganado","27","false","ganado"
"0.02702702702702703","sereno","4","false","sereno"
"0.3783783783783784","pastos","23","false","pastos"
"0.0945945945945946","mayor terreno","7","false","mayor terreno"
"0.10810810810810811","mantenimiento del lienzo","12","false","mantenimiento del lienzo"
"0.06756756756756757","rotación de potreros","6","false","rotación de potreros"
"0.05405405405405406","siembra","5","false","siembra"
"0.08108108108108109","enfermedades del ganado","5","false","enfermedades del ganado"
"0.08108108108108109","cuidado veterinario","9","false","cuidado veterinario"
"0.06756756756756757","arbustos y malezas","8","false","arbustos y malezas"
"0.013513513513513514","esfuerzo de trabajo","1","false","esfuerzo de trabajo"
"0.04054054054054054","tiempo","3","false","tiempo"
"0.31081081081081086","desmonte","20","false","desmonte"
"0.04054054054054054","vivienda","2","false","vivienda"
"0.14864864864864866","huracanes","8","false","huracanes"
"0.02702702702702703","acarrear agua","5","false","acarrear agua"
"0.13513513513513514","bebederos y represas","12","false","bebederos y represas"
"0.05405405405405406","cauce de ríos","3","false","cauce de ríos"
"0.02702702702702703","belleza del paisaje","1","false","belleza del paisaje"
"0.04054054054054054","suelo desmontado","2","false","suelo desmontado"
"0.13513513513513514","sequía","14","false","sequía"
"0.08108108108108109","fertilidad del suelo","4","false","fertilidad del suelo"
"0.05405405405405406","industrias","3","false","industrias"
"0.05405405405405406","gusto por la ganadería","7","false","gusto por la ganadería"
"0.10810810810810811","estación de biología de chamela","8","false","estación de biología de chamela"
"0.0945945945945946","gobierno","2","false","gobierno"
"0.02702702702702703","contaminación","2","false","contaminación"
"0.013513513513513514","gases de efecto invernadero","2","false","gases de efecto invernadero"
"0.04054054054054054","tormenta","3","false","tormenta"
"0.013513513513513514","monte","1","false","monte"
"0.05405405405405406","cuixmala","5","false","cuixmala"
"0.12162162162162163","biólgos","7","false","biólgos"
"0.013513513513513514","tradicion ganadera","1","false","tradicion ganadera"
"0.02702702702702703","organización","1","false","organización"
"0.02702702702702703","educación","2","false","educación"
"0.06756756756756757","polinizadores","2","false","polinizadores"
"0.05405405405405406","frio","3","false","frio"
"0.04054054054054054","acceso a playas","3","false","acceso a playas"
"0.02702702702702703","migración","2","false","migración"
"0.013513513513513514","venaderos","1","false","venaderos"
"0.04054054054054054","descanso del suelo","2","false","descanso del suelo"
"0.04054054054054054","negocios","3","false","negocios"
"0.013513513513513514","remesas","1","false","remesas"
"0.013513513513513514","mar","3","false","mar"
"0.02702702702702703","herramienta de trabajo","2","false","herramienta de trabajo"
"0.02702702702702703","tala","2","false","tala"
"0.04054054054054054","estudios e investigación","1","false","estudios e investigación"
"0.013513513513513514","plagas del ganado","1","false","plagas del ganado"
